ToiletID,URL,Name,Address1,Town,State,Postcode,AddressNote,Male,Female,Unisex,DumpPoint,FacilityType,ToiletType,AccessLimited,PaymentRequired,KeyRequired,AccessNote,Parking,ParkingNote,AccessibleMale,AccessibleFemale,AccessibleUnisex,AccessibleNote,MLAK,ParkingAccessible,AccessibleParkingNote,Ambulant,LHTransfer,RHTransfer,AdultChange,IsOpen,OpeningHoursSchedule,OpeningHoursNote,BabyChange,Showers,DrinkingWater,SharpsDisposal,SanitaryDisposal,IconURL,IconAltText,Notes,Status,Latitude,Longitude
1,https://toiletmap.gov.au/toilet/1,Sandy Beach Reserve,West Road,Bassendean,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Park or reserve,,FALSE,FALSE,FALSE,,FALSE,,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,AllHours,,,FALSE,TRUE,FALSE,TRUE,FALSE,https://toiletmap.gov.au/images/icons/mfa.png,"Male and Female, or Unisex (Accessible)",,Verified,-31.921836,115.9502062
2,https://toiletmap.gov.au/toilet/2,Point Reserve,North Road,Bassendean,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Park or reserve,,FALSE,FALSE,FALSE,,FALSE,,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,DaylightHours,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://toiletmap.gov.au/images/icons/mfa.png,"Male and Female, or Unisex (Accessible)",,Verified,-31.9044101,115.9609911
3,https://toiletmap.gov.au/toilet/3,Success Hill Reserve,Off Seventh Avenue,Bassendean,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Park or reserve,,FALSE,FALSE,FALSE,,TRUE,,TRUE,TRUE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,DaylightHours,,,TRUE,TRUE,TRUE,TRUE,FALSE,https://toiletmap.gov.au/images/icons/mfa.png,"Male and Female, or Unisex (Accessible)",,Verified,-31.89628865,115.955781
4,https://toiletmap.gov.au/toilet/4,Jubilee Reserve,Robinson Road,Eden Hill,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Park or reserve,Sewerage,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,DaylightHours,,,FALSE,FALSE,FALSE,TRUE,FALSE,https://toiletmap.gov.au/images/icons/mf.png,"Male and Female, or Unisex",,Verified,-31.891474,115.9401637
5,https://toiletmap.gov.au/toilet/5,Ashfield Reserve,Guildford Road,Ashfield,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Park or reserve,,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,DaylightHours,,,FALSE,FALSE,FALSE,TRUE,FALSE,https://toiletmap.gov.au/images/icons/mf.png,"Male and Female, or Unisex",,Verified,-31.91343349,115.9364772
6,https://toiletmap.gov.au/toilet/6,Old Perth Road & James Street,Corner of Old Perth Road & James Street,Bassendean,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,FALSE,,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,DaylightHours,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://toiletmap.gov.au/images/icons/mfa.png,"Male and Female, or Unisex (Accessible)",,Verified,-31.90444241,115.9500197
7,https://toiletmap.gov.au/toilet/7,Mary Crescent Reserve,Mary Crescent,Eden Hill,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Park or reserve,,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,DaylightHours,,,TRUE,FALSE,FALSE,FALSE,FALSE,https://toiletmap.gov.au/images/icons/mf.png,"Male and Female, or Unisex",,Verified,-31.89036599,115.9480897
9,https://toiletmap.gov.au/toilet/9,Bassendean Oval 3,Old Perth Road,Bassendean,Western Australia,6054,,TRUE,TRUE,FALSE,FALSE,Sporting facility,,FALSE,FALSE,FALSE,,FALSE,,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,Variable,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://toiletmap.gov.au/images/icons/mfa.png,"Male and Female, or Unisex (Accessible)",,Verified,-31.90371581,115.9564902
15,https://toiletmap.gov.au/toilet/15,"Apex Park, Moranbah Access Road",Goonyella Road,Moranbah,Queensland,4744,,TRUE,TRUE,FALSE,FALSE,Park or reserve,Sewerage,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,AllHours,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://toiletmap.gov.au/images/icons/mf.png,"Male and Female, or Unisex",,Verified,-22.01444418,148.0452418
16,https://toiletmap.gov.au/toilet/16,"Lions Park, Belyando Avenue",12 Belyando Avenue,Moranbah,Queensland,4744,,TRUE,TRUE,FALSE,FALSE,Park or reserve,Sewerage,FALSE,FALSE,FALSE,,TRUE,"Parking is available on Belyando Avenue, then a short walk into the park to access the toilet",FALSE,FALSE,FALSE,,FALSE,FALSE,"Parking is available on Belyando Avenue, then a short walk into the park to access the toilet",FALSE,FALSE,FALSE,FALSE,AllHours,,,FALSE,FALSE,FALSE,FALSE,FALSE,https://toiletmap.gov.au/images/icons/mf.png,"Male and Female, or Unisex",,Verified,-21.9993408,148.0439733
